,,,,,,,,2026,,,,,,,,Philippines,,,,,,
January,,,,,,,,February,,,,,,,,March,,,,,,
S,M,T,W,T,F,S,,S,M,T,W,T,F,S,,S,M,T,W,T,F,S
,,,,1,2,3,,1,2,3,4,5,6,7,,1,2,3,4,5,6,7
4,5,6,7,8,9,10,,8,9,10,11,12,13,14,,8,9,10,11,12,13,14
11,12,13,14,15,16,17,,15,16,17,18,19,20,21,,15,16,17,18,19,20,21
18,19,20,21,22,23,24,,22,23,24,25,26,27,28,,22,23,24,25,26,27,28
25,26,27,28,29,30,31,,,,,,,,,,29,30,31,,,,

April,,,,,,,,May,,,,,,,,June,,,,,,
S,M,T,W,T,F,S,,S,M,T,W,T,F,S,,S,M,T,W,T,F,S
,,,1,2,3,4,,,,,,,1,2,,,1,2,3,4,5,6
5,6,7,8,9,10,11,,3,4,5,6,7,8,9,,7,8,9,10,11,12,13
12,13,14,15,16,17,18,,10,11,12,13,14,15,16,,14,15,16,17,18,19,20
19,20,21,22,23,24,25,,17,18,19,20,21,22,23,,21,22,23,24,25,26,27
26,27,28,29,30,,,,24,25,26,27,28,29,30,,28,29,30,,,,
,,,,,,,,31,,,,,,,,,,,,,,
July,,,,,,,,August,,,,,,,,September,,,,,,
S,M,T,W,T,F,S,,S,M,T,W,T,F,S,,S,M,T,W,T,F,S
,,,1,2,3,4,,,,,,,,1,,,,1,2,3,4,5
5,6,7,8,9,10,11,,2,3,4,5,6,7,8,,6,7,8,9,10,11,12
12,13,14,15,16,17,18,,9,10,11,12,13,14,15,,13,14,15,16,17,18,19
19,20,21,22,23,24,25,,16,17,18,19,20,21,22,,20,21,22,23,24,25,26
26,27,28,29,30,31,,,23,24,25,26,27,28,29,,27,28,29,30,,,
,,,,,,,,30,31,,,,,,,,,,,,,
October,,,,,,,,November,,,,,,,,December,,,,,,
S,M,T,W,T,F,S,,S,M,T,W,T,F,S,,S,M,T,W,T,F,S
,,,,1,2,3,,1,2,3,4,5,6,7,,,,1,2,3,4,5
4,5,6,7,8,9,10,,8,9,10,11,12,13,14,,6,7,8,9,10,11,12
11,12,13,14,15,16,17,,15,16,17,18,19,20,21,,13,14,15,16,17,18,19
18,19,20,21,22,23,24,,22,23,24,25,26,27,28,,20,21,22,23,24,25,26
25,26,27,28,29,30,31,,29,30,,,,,,,27,28,29,30,31,,


Jan 1: New Year's Day,,,,,,,,Apr 9: Day of Valor,,,,,,,,Sep 25: Mid-Autumn Festival,,,,,,
Jan 23: First Philippine Republic Day,,,,,,,,Apr 27: Lapu-Lapu Day,,,,,,,,Nov 1: All Saints' Day,,,,,,
Feb 2: Constitution Day,,,,,,,,May 1: Labour Day,,,,,,,,Nov 2: All Souls' Day,,,,,,
Feb 17: Chinese New Year,,,,,,,,May 27: Feast of the Sacrifice (Eid al-Adha),,,,,,,,Nov 30: Bonifacio Day,,,,,,
Feb 25: EDSA Revolution Anniversary,,,,,,,,Jun 12: Independence Day,,,,,,,,Dec 8: Feast of the Immaculate Conception of the Blessed Virgin Mary,,,,,,
Mar 3: Lantern Festival,,,,,,,,Jun 16: Islamic New Year,,,,,,,,Dec 24: Christmas Eve,,,,,,
Mar 20: End of Ramadan (Eid al-Fitr),,,,,,,,Jun 19: José Rizal's birthday,,,,,,,,Dec 25: Christmas Day,,,,,,
Apr 2: Maundy Thursday,,,,,,,,Jul 27: Iglesia ni Cristo Day,,,,,,,,Dec 30: Rizal Day,,,,,,
Apr 3: Good Friday,,,,,,,,Aug 21: Ninoy Aquino Day,,,,,,,,Dec 31: New Year's Eve,,,,,,
Apr 4: Easter Saturday,,,,,,,,Aug 25: Birthday of Muhammad (Mawlid),,,,,,,,,,,,,,
Apr 5: Easter Sunday,,,,,,,,Aug 31: National Heroes' Day,,,,,,,,,,,,,,

