date,arrival_time,hour,day_of_week,day_name,month,month_sin,month_cos,is_end_of_month,is_holiday,is_pre_holiday,is_peak_day,is_peak_hour,queue_length_at_arrival,waiting_time_min,service_time_min,total_time_in_system_min,queue_length_lag1,waiting_time_lag1,is_weekend
2026-01-01,2026-01-01 08:21:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,9,7.2,31.6,38.8,3.0,10.0,0
2026-01-01,2026-01-01 08:23:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,9,7.8,29.2,37.0,9.0,7.2,0
2026-01-01,2026-01-01 08:28:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,9,7.5,27.0,34.4,9.0,7.8,0
2026-01-01,2026-01-01 08:37:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,6,7.0,27.3,34.4,9.0,7.5,0
2026-01-01,2026-01-01 08:38:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,8,8.1,16.2,24.3,6.0,7.0,0
2026-01-01,2026-01-01 08:57:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,10,8.3,20.8,29.1,8.0,8.1,0
2026-01-01,2026-01-01 08:58:00,8,3,Thursday,1,0.0,1.0,0,1,0,0,0,4,8.0,22.6,30.7,10.0,8.3,0
2026-01-01,2026-01-01 09:01:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,8,22.2,27.2,49.4,4.0,8.0,0
2026-01-01,2026-01-01 09:03:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,3,19.0,30.5,49.5,8.0,22.2,0
2026-01-01,2026-01-01 09:07:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,2,18.1,20.2,38.2,3.0,19.0,0
2026-01-01,2026-01-01 09:08:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,5,18.3,33.8,52.1,2.0,18.1,0
2026-01-01,2026-01-01 09:13:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,10,22.9,15.3,38.3,5.0,18.3,0
2026-01-01,2026-01-01 09:39:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,7,22.6,19.2,41.8,10.0,22.9,0
2026-01-01,2026-01-01 09:56:00,9,3,Thursday,1,0.0,1.0,0,1,0,0,1,4,18.1,28.6,46.7,7.0,22.6,0
